,optimizer,learning_rate,regularizer,regularizer_lambda,batch_size,rmse,epoch,train_time
0,Adam,0.005,l0,-inf,32,58982.95145071485,29,15.8560152053833
1,Adam,0.005,l1,0.001,32,115882.35746534119,8,5.842113971710205
2,Adam,0.005,l1,0.0001,32,64525.39301683208,36,23.58598780632019
3,Adam,0.005,l1,1e-05,32,60878.06414380996,25,16.385130643844604
4,Adam,0.005,l2,0.001,32,67472.72888334877,27,18.326530933380127
5,Adam,0.005,l2,0.0001,32,61958.379978783094,64,42.69616389274597
6,Adam,0.005,l2,1e-05,32,61788.5115352225,42,28.499425172805786
7,Adam,0.005,l0,-inf,64,59967.87149507812,24,7.134313583374023
8,Adam,0.005,l1,0.001,64,114447.2492009484,9,3.42832088470459
9,Adam,0.005,l1,0.0001,64,63007.25142529902,38,13.020079374313354
10,Adam,0.005,l1,1e-05,64,58432.37034897415,53,18.78969931602478
11,Adam,0.005,l2,0.001,64,69069.3413716975,31,11.207200765609741
12,Adam,0.005,l2,0.0001,64,61750.22145555497,48,17.316171407699585
13,Adam,0.005,l2,1e-05,64,59475.71636555732,23,8.208964347839355
14,Adam,0.005,l0,-inf,128,77912.95701484622,34,5.624090671539307
15,Adam,0.005,l1,0.001,128,116362.19444840032,8,1.7857530117034912
16,Adam,0.005,l1,0.0001,128,62275.51452662803,47,9.1639986038208
17,Adam,0.005,l1,1e-05,128,55647.52790186708,61,11.764975786209106
18,Adam,0.005,l2,0.001,128,69488.7165086667,14,2.935149908065796
19,Adam,0.005,l2,0.0001,128,63730.791837408186,34,6.865107536315918
20,Adam,0.005,l2,1e-05,128,64253.47519587656,57,11.388375997543335
21,Adam,0.005,l0,-inf,256,57076.53623585234,69,7.453803062438965
22,Adam,0.005,l1,0.001,256,112314.78051046364,8,1.0532619953155518
23,Adam,0.005,l1,0.0001,256,64282.53208120131,47,5.848569869995117
24,Adam,0.005,l1,1e-05,256,60695.40543650029,36,4.46352219581604
25,Adam,0.005,l2,0.001,256,68839.46453785924,72,9.369418621063232
26,Adam,0.005,l2,0.0001,256,62709.231278099134,17,2.31352162361145
27,Adam,0.005,l2,1e-05,256,61991.86962981732,23,3.0643579959869385
28,Adam,0.005,l0,-inf,512,59420.81854552782,40,3.370993137359619
29,Adam,0.005,l1,0.001,512,66247.33427990411,75,6.641622066497803
30,Adam,0.005,l1,0.0001,512,70282.10763769547,32,3.0103390216827393
31,Adam,0.005,l1,1e-05,512,60350.1396108137,45,4.041106462478638
32,Adam,0.005,l2,0.001,512,71860.49012798272,13,1.3049581050872803
33,Adam,0.005,l2,0.0001,512,64843.68306358856,68,6.211137294769287
34,Adam,0.005,l2,1e-05,512,68373.2744302002,38,3.5305840969085693
35,Adam,0.005,l0,-inf,1024,57111.237937889004,78,6.01557469367981
36,Adam,0.005,l1,0.001,1024,115860.78504426683,9,0.7482891082763672
37,Adam,0.005,l1,0.0001,1024,64514.71352106618,96,7.648967742919922
